Text,Date,Retweets,Favorites,Month,Year,NEG,NEU,POS,COMP,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy
danas se u okviru projekta terrifica odrzava radionica za predstavnike gradske uprave zainteresovanih strana na kojoj se razgovara tome kako moemo poboljati adaptaciju naeg grada na klimatske promene terrifica climatechange,2019-10-04,0,3,10,2019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zackslater54 climate change,2021-11-14,0,2,11,2021,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate change caused many people planetend,2019-11-28,0,0,11,2019,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evidence bbcnews twisting words around days religion climate change get better narrative also helps international sales dickhead attenborough tv show climatechange,2019-08-02,0,3,8,2019,0.149,0.652,0.199,0.1027,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0
climate fight big complex war thats carried many fronts apathy selfdealing un climatechange conference obvious whats less obvious signs real progress ten reasons optimism httpstcopgwngtyhlh jeffgoodell,2021-11-03,1,0,11,2021,0.242,0.583,0.175,-0.34,0.09523809523809523,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.23809523809523808,0.14285714285714285,0.047619047619047616,0.0,0.09523809523809523
weve heard walking forest coventry 15th16th oct walkers carry felled tree raise voice climate racial social justice volunteer apply tomorrow 1st oct info httpstcocwhmw7xnpd greenfutures cop26 walkingforestcoventry httpstco9pstgksrvb,2021-09-30,2,8,9,2021,0.0,0.888,0.112,0.5267,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.2,0.0,0.0,0.06666666666666667,0.13333333333333333
latest ipcc report climatechange 2021 physical science basis 9 august report provide uptodate physical understanding climate system backed latest climate science multiple lines evidence climatereport climatecrisis httpstcoxziayaeuuu,2021-08-02,7,7,8,2021,0.0,0.959,0.041,0.0258,0.14285714285714285,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
climate change guns healthcare student debt republicans across country spending time bullying trans teens evil httpstco1mlghxsxci,2021-04-15,0,3,4,2021,0.454,0.546,0.0,-0.8957,0.18181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0
china companies recently really ccp demonstrating top control perceive collective good whether true mindset west wants supertax another 10 profits climate change would say good,2021-08-01,0,0,8,2021,0.0,0.596,0.404,0.9112,0.05263157894736842,0.0,0.2631578947368421,0.10526315789473684,0.2631578947368421,0.0,0.0,0.0,0.15789473684210525
realdonaldtrump obama prince harry along dicaprio attended climate change gathering took private jets yachts great example always knew going save planet backs poor happening,2019-08-01,0,0,8,2019,0.136,0.633,0.231,0.6124,0.125,0.125,0.125,0.0,0.25,0.125,0.125,0.0,0.125
dear donald say climate change fake science one question youre wrong,2019-03-16,0,3,3,2019,0.369,0.476,0.155,-0.5574,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0
democrat delusion climate change hoax started chicken little proclaimed sky falling,2019-10-04,0,1,10,2019,0.276,0.724,0.0,-0.3477,0.21428571428571427,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.0
